MSZoning,LotArea,SalePrice,YearBuilt,Street
RL,3182,192500,2005,Pave
RL,8760,148000,1959,Pave
RL,15138,403000,1995,Pave
RM,1680,94500,1972,Pave
RL,10650,128200,1976,Pave
RL,7851,216500,2002,Pave
RM,1680,89500,1971,Pave
RL,8773,185500,2004,Pave
RL,9453,194500,1993,Pave
RL,12030,318000,2007,Pave
RL,8741,113000,1945,Pave
FV,9000,262500,2008,Pave
RM,3880,110500,1945,Pave
RM,5000,79000,1900,Pave
RL,10762,120000,1980,Pave
RL,8880,205000,1994,Pave
RL,10400,241500,1988,Pave
RM,9142,137000,1910,Pave
RL,11310,140000,1954,Pave
RL,11317,180000,2003,Pave
RL,159000,277000,1958,Pave
RL,5350,76500,1940,Pave
RM,4750,235000,2006,Pave
RL,8366,173000,2004,Pave
RL,9350,158000,1964,Pave
RL,8400,145000,1957,Pave
RL,8738,230000,1999,Pave
FV,8791,207500,2003,Pave
RL,8814,220000,2006,Pave
RL,12435,231500,2001,Pave
RM,12702,97000,1956,Pave
RL,19296,176000,1962,Pave
RL,9588,276000,2007,Pave
RL,8471,151000,1977,Pave
RM,5500,130000,1929,Pave
RM,5232,73000,1925,Pave
RL,12090,175500,1981,Pave
RL,11207,185000,1997,Pave
RL,8400,179500,1939,Pave
RM,6900,120500,1940,Pave
RL,7917,148000,1976,Pave
FV,10728,266000,2006,Pave
RL,39104,241500,1954,Pave
RL,11764,290000,1999,Pave
RL,9600,139000,1958,Pave
RL,8314,124500,1982,Pave
RL,7264,205000,1925,Pave
RL,9196,201000,2003,Pave
RL,19138,141000,1951,Pave
RL,14450,415298,2006,Pave
RL,10005,192000,1977,Pave
RL,11287,228500,1989,Pave
FV,7200,185000,2006,Pave
RL,5063,207500,2007,Pave
RL,9612,244600,2008,Pave
RL,8012,179200,1992,Pave
FV,4251,164700,2006,Pave
RL,9786,159000,1962,Pave
RL,8125,88000,1971,Pave
RL,9819,122000,1967,Pave
RL,8730,153575,1915,Pave
RL,15611,233230,2006,Pave
RL,5687,135900,1912,Pave
RL,11409,131000,1949,Pave
RL,16659,235000,1977,Pave
RL,9600,167000,1953,Pave
RL,7937,142500,1984,Pave
RM,13710,152000,1950,Pave
FV,7399,239000,1997,Pave
RL,11700,175000,1968,Pave
RL,14000,158500,1950,Pave
RL,15750,157000,1953,Pave
RL,16226,267000,1998,Pave
RL,13704,205000,2001,Pave
RL,9800,149900,1972,Pave
RM,18386,295000,1880,Pave
RL,10386,305900,2004,Pave
RL,13474,225000,1990,Pave
RM,7920,89500,1920,Pave
RL,12342,82500,1940,Pave
RL,12378,360000,2003,Pave
RL,7685,165600,1993,Pave
RL,8000,132000,1948,Pave
RM,7800,119900,1939,Pave
RL,215245,375000,1965,Pave
RM,9600,178000,1925,Pave
RL,7795,188500,2004,Pave
RL,13005,260000,1980,Pave
FV,9000,270000,2006,Pave
RL,9900,260000,1993,Pave
RL,14115,187500,1980,Pave
RL,16259,342643,2006,Pave
RL,12099,354000,2004,Pave
RL,10380,301000,1986,Pave
RM,5820,126175,1955,Pave
RL,11275,242000,1967,Pave
RM,5000,87000,1941,Pave
RL,10846,324000,1993,Pave
RL,11600,145250,1960,Pave
RL,11888,214500,1916,Pave
RM,6402,78000,1920,Pave
RL,10624,119000,1964,Pave
RL,8176,139000,1958,Pave
RL,10655,284000,2003,Pave
RM,8198,207000,2004,Pave
RL,9042,192000,1998,Pave
RL,164660,228950,1965,Grvl
RL,14157,377426,2005,Pave
RL,9135,214000,2002,Pave
RL,14145,202500,1984,Pave
RL,12400,155000,1958,Pave
RL,14191,202900,2002,Pave
RH,8400,82000,1950,Pave
RL,8544,87500,1949,Pave
RL,8849,266000,2005,Pave
RM,2592,85000,1976,Pave
RL,6435,140200,1939,Pave
RL,12772,151500,1960,Pave
RL,17600,157500,1960,Pave
RL,2448,154000,2003,Pave
RL,20431,437154,2005,Pave
RL,7820,318061,2007,Pave
RL,5271,190000,1986,Pave
RL,9084,95000,1941,Pave
RM,8520,105900,1928,Pave
RL,8400,140000,1940,Pave
RL,11249,177500,1995,Pave
RL,9248,173000,1992,Pave
RM,4224,134000,1976,Pave
RL,6930,130000,1958,Pave
RL,12011,280000,1998,Pave
RL,7540,156000,1978,Pave
RL,9144,145000,1940,Pave
RL,7301,198500,2003,Pave
RM,1680,118000,1972,Pave
RL,18800,190000,1976,Pave
RM,10690,147000,1920,Pave
RL,9500,159000,1963,Pave
RL,9150,165000,1962,Pave
RL,7800,132000,1954,Pave
RL,9830,162000,1959,Pave
RL,8121,172400,2000,Pave
RL,17120,134432,1959,Pave
RL,7175,125000,1984,Pave
RL,10634,123000,1953,Pave
RL,8200,219500,2003,Pave
RL,10020,61000,1922,Pave
RL,8846,148000,1996,Pave
FV,11143,340000,2004,Pave
RL,11394,394432,2010,Pave
RL,8123,179000,2000,Pave
RL,5000,127000,1924,Pave
FV,7200,187750,2006,Pave
RL,9245,213500,2006,Pave
RH,9000,76000,1928,Pave
RL,53107,240000,1992,Pave
RL,3182,192000,2004,Pave
RL,8410,81000,1910,Pave
RL,7200,125000,1976,Pave
RL,9382,191000,1999,Pave
RL,12474,426000,2007,Pave
RL,8405,119000,1900,Pave
RL,12209,215000,2001,Pave
RL,8339,106500,1959,Pave
RL,7446,100000,1941,Pave
RL,10134,109000,1940,Pave
RL,9571,129000,1956,Pave
RL,7200,123000,1972,Pave
RL,7590,169500,1962,Pave
RM,8967,67000,1920,Pave
FV,8125,241000,2006,Pave
RL,14963,245500,1996,Pave
RL,8767,164990,2005,Pave
RL,10200,108000,1940,Pave
RL,12090,258000,1998,Pave
RL,10364,168000,1995,Pave
RL,9991,150000,1976,Pave
RL,10480,115000,1936,Pave
RL,15576,177000,1915,Pave
RL,14154,280000,2006,Pave
FV,10800,339750,2007,Pave
RL,9571,60000,1958,Pave
RL,34650,145000,1955,Pave
FV,4403,222000,2009,Pave
RM,8960,115000,1927,Pave
RL,11228,228000,1993,Pave
RL,8899,181134,2007,Pave
RL,7844,149500,1978,Pave
RL,22420,239000,1918,Pave
RL,8160,126000,1940,Pave
RL,8450,142000,1968,Pave
RM,7060,206300,1997,Pave
RL,16635,215000,1977,Pave
RL,21750,113000,1954,Pave
RL,9200,315000,1998,Pave
RL,9000,139000,1956,Pave
RM,3378,135000,1946,Pave
RL,12800,275000,1989,Pave
RL,8593,109008,1957,Pave
RL,6762,195400,2007,Pave
RL,11457,175000,1988,Pave
RM,1680,85400,1971,Pave
RM,5586,79900,1920,Pave
RM,1920,122500,1971,Pave
RL,10839,181000,1997,Pave
RM,1890,81000,1972,Pave
RL,10667,212000,1996,Pave
RM,4400,116000,1920,Pave
RM,6000,119000,1926,Pave
RL,4280,90350,1913,Pave
RL,12354,110000,1920,Pave
RL,15431,555000,2008,Pave
RL,12108,118000,1955,Pave
RM,6240,162900,1930,Pave
RL,3922,172500,2006,Pave
RL,8750,210000,1994,Pave
RL,9855,127500,1956,Pave
RL,16492,190000,1966,Pave
RL,11214,199900,1998,Pave
RM,8600,119500,1937,Pave
RM,6000,120000,1948,Pave
RM,5684,110000,1930,Pave
RL,70761,280000,1975,Pave
RL,9303,204000,1996,Pave
FV,9000,210000,2008,Pave
RL,9297,188000,1976,Pave
RL,9600,175500,1973,Pave
RM,4571,98000,1916,Pave
RL,53227,256000,1954,Pave
RM,5100,161000,1925,Pave
RL,7015,110000,1950,Pave
FV,8004,263435,2009,Pave
RL,7200,155000,1936,Pave
RL,8281,62383,1965,Pave
RL,11988,188700,1934,Pave
RL,8430,124000,1978,Pave
RM,3072,178740,2004,Pave
RL,10628,167000,1970,Pave
RL,9480,146500,1942,Pave
RL,11428,250000,2006,Pave
RL,9291,187000,1993,Pave
RL,6820,212000,1985,Pave
RL,11952,190000,1977,Pave
RM,3675,148000,2005,Pave
RL,14977,440000,2006,Pave
RL,5330,251000,2000,Pave
RL,8480,132500,1963,Pave
RL,13125,208900,1997,Pave
RL,13693,380000,2006,Pave
RL,10637,297000,2007,Pave
RM,5925,89471,1937,Pave
RL,16033,326000,2004,Pave
RL,11846,374000,2003,Pave
RM,2500,155000,1915,Pave
RM,4500,164000,1998,Pave
RL,7758,132500,1962,Pave
RL,9600,147000,1950,Pave
RL,10289,156000,1965,Pave
RL,12243,175000,1971,Pave
RL,10800,160000,1900,Pave
RM,1526,86000,1970,Pave
RM,2665,115000,1976,Pave
RL,9490,133000,1941,Pave
RL,15578,172785,2006,Pave
RL,7931,155000,1960,Pave
RM,5784,91300,1938,Pave
C (all),7879,34900,1920,Pave
RL,12692,430000,1992,Pave
RL,9120,184000,1925,Pave
RL,7800,130000,1967,Pave
RL,7535,120000,1958,Pave
RM,1890,113000,1973,Pave
FV,9803,226700,2005,Pave
RL,9170,140000,1965,Pave
RL,15602,289000,1959,Pave
RL,2308,147000,1974,Pave
RM,7596,124500,1952,Pave
RL,9554,215000,1993,Pave
FV,7862,208300,2009,Pave
RM,9600,161000,1928,Pave
RL,9600,124500,1959,Pave
RL,14559,164900,1951,Pave
RL,6792,202665,2005,Pave
RL,9100,129900,1958,Pave
RL,9187,134000,1983,Pave
RL,10594,96500,1926,Pave
RL,12220,402861,2009,Pave
RL,10448,158000,1972,Pave
RL,10208,265000,1996,Pave
RL,9531,211000,1998,Pave
RL,10918,234000,1926,Pave
RL,10800,106250,1900,Pave
RL,11988,150000,1957,Pave
RM,5000,159000,1947,Pave
RL,40094,184750,2007,Pave
RL,11787,315750,1996,Pave
FV,7500,176000,2005,Pave
RL,13300,132000,1956,Pave
RL,14948,446261,2008,Pave
RL,9098,86000,1920,Pave
RL,32668,200624,1957,Pave
RL,10200,175000,1988,Pave
RM,6155,128000,1920,Pave
RL,7200,107500,1955,Pave
RL,5000,39300,1946,Pave
RL,9056,178000,2004,Pave
RL,7000,107500,1910,Pave
RL,8924,188000,1998,Pave
RL,12735,111250,1972,Pave
RL,11553,158000,1968,Pave
RL,11423,272000,2001,Pave
RL,14601,315000,2006,Pave
RL,11000,248000,2000,Pave
RL,10140,213250,1998,Pave
RH,4058,133000,1998,Pave
RL,17104,179665,2006,Pave
RL,13837,229000,1988,Pave
RL,8737,210000,1923,Pave
RL,7244,129500,1970,Pave
RM,8235,125000,1955,Pave
FV,9375,263000,2003,Pave
RL,4043,140000,1977,Pave
RM,6000,112500,1957,Pave
RL,11146,255500,2006,Pave
RL,8777,108000,1949,Pave
RL,10625,284000,2003,Pave
RM,6380,113000,1922,Pave
RL,14850,141000,1957,Pave
C (all),11040,108000,1920,Pave
RL,21872,175000,1996,Pave
RL,3196,234000,2003,Pave
RL,11341,121500,1957,Pave
RL,10010,170000,1974,Pave
RL,13907,108000,1940,Pave
RL,21780,185000,1918,Pave
RL,13346,268000,1992,Pave
RL,6858,128000,1915,Pave
RL,11198,325000,2005,Pave
RL,10171,214000,2004,Pave
RL,12327,316600,1983,Pave
RL,7032,135960,1979,Pave
RL,13101,142600,1965,Pave
RL,7332,120000,1959,Pave
RL,13159,224500,2009,Pave
RL,9967,170000,2000,Pave
RL,10500,139000,1971,Pave
RL,8480,118500,1947,Pave
RL,6292,145000,1928,Pave
RL,11777,164500,1966,Pave
FV,3604,146000,2007,Pave
RM,12150,131500,1954,Pave
RL,14585,181900,1960,Pave
RL,12704,253293,2008,Pave
RL,11841,118500,1990,Grvl
RM,13500,325000,1893,Pave
RM,6120,133000,1935,Pave
RL,11443,369900,2005,Pave
RL,10267,130000,1918,Pave
RL,8740,137000,1982,Pave
RL,25095,143000,1968,Pave
RM,9100,79500,1930,Pave
RL,8320,185900,2004,Pave
RL,13478,451950,2008,Pave
RL,6600,138000,1982,Pave
RM,4435,140000,2003,Pave
RL,7990,110000,1975,Pave
RL,11302,319000,2005,Pave
RM,3600,114504,1910,Pave
RL,3922,194201,2006,Pave
RL,12984,217500,1977,Pave
RM,1950,151000,1980,Pave
RL,10927,275000,2005,Pave
RM,9000,141000,1937,Pave
RL,10041,220000,1992,Pave
FV,3182,151000,2004,Pave
RL,12803,221000,2002,Pave
RL,13600,205000,1965,Pave
RL,12464,152000,1996,Pave
RL,7800,225000,1948,Pave
RL,12168,359100,1934,Pave
RL,7943,118500,1961,Pave
RL,11050,313000,2000,Pave
RL,10395,148000,1978,Pave
RL,11885,261500,2001,Pave
RL,8402,147000,2007,Pave
RM,1491,75500,1972,Pave
RL,8800,137500,1963,Pave
RL,7861,183200,2002,Pave
RL,7227,105500,1954,Pave
RL,11694,314813,2007,Pave
RL,12244,305000,2003,Pave
RL,8248,67000,1914,Pave
RL,10800,240000,1974,Pave
RL,7064,135000,1977,Pave
FV,2117,168500,2000,Pave
RL,10400,165150,1972,Pave
RL,10000,160000,1962,Pave
RL,12342,139900,1960,Pave
RL,9600,153000,1955,Pave
RL,11606,135000,1969,Pave
RL,9020,168500,1964,Pave
RM,9000,124000,1880,Pave
RL,4590,209500,2006,Pave
RL,11900,82500,1977,Pave
RL,9250,139400,1954,Pave
RL,6979,144000,1980,Pave
RH,10896,200000,1914,Pave
RM,6120,60000,1936,Pave
RM,6000,93000,1954,Pave
RL,8777,85000,1910,Pave
RL,3982,264561,2006,Pave
RL,12677,274000,2003,Pave
FV,7050,226000,2001,Pave
RL,13860,345000,1972,Pave
RL,10793,152000,1969,Pave
FV,9187,370878,2009,Pave
RL,10530,143250,1971,Pave
RL,7200,98300,1950,Pave
RL,10452,155000,1953,Pave
RL,7700,155000,1966,Pave
RM,1936,84500,1970,Pave
FV,8125,205950,2007,Pave
RL,9084,108000,1940,Pave
RL,8750,191000,1996,Pave
RM,10320,135000,1906,Pave
RL,10437,350000,1995,Pave
RM,1680,88000,1971,Pave
RL,10007,145500,1959,Pave
RL,7200,149000,1931,Pave
RL,17503,97500,1948,Pave
RL,9937,167000,1964,Pave
RL,12384,197900,1976,Pave
RL,46589,402000,1994,Pave
RL,13560,110000,1968,Pave
RL,10012,137500,1972,Pave
RL,20896,423000,2005,Pave
RL,11194,230500,2000,Pave
RL,18450,129000,1965,Pave
RL,8125,193500,1994,Pave
RL,14175,168000,1956,Pave
RL,11600,137500,1922,Pave
RL,8633,173500,2005,Pave
RH,6629,103600,1925,Pave
RL,11250,165000,1977,Pave
RL,14442,257500,1957,Pave
RL,9200,140000,1965,Pave
RL,2289,148500,1978,Pave
RM,9600,87000,1900,Pave
RL,9022,109500,1924,Pave
RL,11844,372500,2008,Pave
RL,9945,128500,1961,Pave
RL,8012,143000,1980,Pave
RH,4500,159434,1932,Pave
RL,2887,173000,1996,Pave
RL,11248,285000,2002,Pave
RL,16770,221000,1998,Pave
RL,5062,207500,1984,Pave
FV,10207,227875,2007,Pave
FV,5105,148800,2004,Pave
RL,8089,392000,2007,Pave
RL,7577,194700,2005,Pave
RM,4426,141000,2004,Pave
RL,21535,755000,1994,Pave
RL,26178,335000,1989,Pave
RL,5400,108480,1921,Pave
RM,6120,141500,1936,Pave
RL,13811,176000,1987,Pave
RM,6000,89000,1921,Pave
RL,6420,123500,1952,Pave
RL,8450,138500,1965,Pave
FV,4282,196000,2004,Pave
RL,14331,312500,2002,Pave
RL,9600,140000,1969,Pave
RL,12438,361919,2006,Pave
RM,7630,140000,1900,Pave
RL,8400,213000,2004,Pave
RM,5600,55000,1930,Pave
RL,115149,302000,1971,Pave
RL,6240,254000,2006,Pave
RL,9018,179540,2007,Pave
RL,7162,109900,1966,Pave
RL,4130,52000,1935,Pave
C (all),8712,102776,1900,Pave
RL,4671,189000,1988,Pave
RL,9873,129000,1970,Pave
RL,13517,130500,1976,Pave
RL,10140,165000,1974,Pave
RM,10800,159500,1890,Pave
RL,10000,157000,1973,Pave
RL,10542,341000,1993,Pave
RL,9920,128500,1969,Pave
RL,6563,275000,1985,Pave
RM,4426,143000,2004,Pave
RL,8120,124500,1970,Pave
RL,8172,135000,1954,Pave
RL,13286,320000,2007,Pave
RL,6960,120500,1970,Pave
RL,21695,222000,1988,Pave
RL,7314,194500,2007,Pave
RL,11475,110000,1958,Pave
RM,6240,103000,1925,Pave
RL,5389,236500,1995,Pave
RL,9590,187500,2003,Pave
RL,11404,222500,1998,Pave
RL,10000,131400,1961,Pave
RL,8978,108000,1968,Pave
RM,10800,163000,1914,Pave
RL,8544,93500,1950,Pave
RL,10463,239900,2005,Pave
RL,10800,179000,1987,Pave
RL,9313,190000,2004,Pave
RM,9600,132000,1910,Pave
RL,6768,142000,1961,Pave
RL,8450,179000,2000,Pave
RL,12886,175000,1963,Pave
RL,5395,180000,1993,Pave
RL,8963,299800,1976,Pave
RL,8795,236000,2000,Pave
RM,11700,265979,1880,Pave
RL,10593,260400,1996,Pave
RL,8405,98000,1945,Pave
RM,8800,96500,1910,Pave
RL,7750,162000,2003,Pave
RL,9236,217000,1997,Pave
RL,10240,275500,2005,Pave
RL,7930,156000,1969,Pave
FV,3230,172500,1999,Pave
RL,10769,212000,2007,Pave
RL,11616,158900,1978,Pave
FV,2280,179400,1999,Pave
RL,12257,290000,1995,Pave
RL,9100,127500,1959,Pave
RM,6911,100000,1924,Pave
FV,8640,215200,2009,Pave
RL,9430,337000,1999,Pave
RL,9549,270000,1995,Pave
RL,14587,264132,2008,Pave
RL,10421,196500,1988,Pave
RL,12508,160000,1940,Pave
RL,9100,216837,2004,Pave
RL,53504,538000,2003,Pave
RL,7252,134900,1982,Pave
RL,8877,102000,1951,Pave
RL,7819,107000,1976,Pave
RL,10150,114500,1958,Pave
RL,14226,395000,2006,Pave
RM,4500,162000,1998,Pave
RL,11210,221500,2005,Pave
RL,13350,142500,1974,Pave
RH,8400,144000,1977,Pave
RL,10530,135000,1977,Pave
RL,7875,176000,1995,Pave
RL,7153,175900,1992,Pave
RL,16285,187100,2001,Pave
RL,9101,165500,1978,Pave
RM,6300,128000,1914,Pave
RL,9790,161500,1967,Pave
RM,10800,139000,1915,Pave
RL,10142,233000,2004,Pave
RM,6000,107900,1954,Pave
RL,12205,187500,1966,Pave
RL,3182,160200,2005,Pave
RL,11333,146800,1976,Pave
RL,9920,269790,1996,Pave
RL,9158,225000,2007,Pave
RL,10832,194500,1994,Pave
RL,8400,171000,1980,Pave
RL,8197,143500,1977,Pave
RL,7677,110000,1953,Pave
RL,13518,485000,2008,Pave
RL,7200,175000,1937,Pave
RL,12798,200000,1997,Pave
RM,4800,109900,1916,Pave
RL,8199,189000,2005,Pave
RL,13891,582933,2008,Pave
RL,9000,118000,1954,Pave
RL,12274,227680,2008,Pave
RL,9750,135500,1967,Pave
RL,21384,223500,1923,Pave
RL,13400,159950,1966,Pave
RM,8100,106000,1898,Pave
RL,10140,181000,1974,Pave
RM,4438,144500,2004,Pave
C (all),8712,55993,1952,Grvl
RL,9750,157900,1958,Pave
RL,8248,116000,1918,Pave
RL,12137,224900,1998,Pave
RL,11425,137000,1954,Pave
RL,13265,271000,2002,Pave
RL,8816,155000,1971,Pave
RL,6371,224000,2009,Pave
RL,7226,183000,2003,Pave
RM,6000,93000,1953,Pave
RL,12394,225000,2003,Pave
RL,9900,139500,1940,Pave
FV,11216,232600,2006,Pave
RL,14803,385000,2007,Pave
RM,6130,109500,1924,Pave
RL,8529,189000,2001,Pave
RL,28698,185000,1967,Pave
FV,2544,147400,2005,Pave
RL,11900,166000,1957,Pave
FV,3180,151000,2005,Pave
RL,9548,237000,2003,Pave
RL,10004,167000,1964,Pave
RL,7875,139950,1961,Pave
RL,9600,128000,1950,Pave
RM,8100,153500,1948,Pave
RM,1680,100000,1973,Pave
RL,9525,144000,1995,Pave
RL,11767,130500,1946,Pave
RH,12155,140000,1925,Pave
RM,10440,157500,1904,Pave
RL,9020,174900,1966,Pave
RL,8000,141000,1961,Pave
RM,12665,153900,1915,Pave
RL,16647,171000,1975,Pave
RL,9317,213000,1993,Pave
RL,15523,133500,1972,Pave
RL,45600,240000,1908,Pave
RL,9600,187000,1976,Pave
RM,4435,131500,2003,Pave
RL,3196,215000,2003,Pave
RL,7128,164000,1941,Pave
RL,12095,158000,1964,Pave
RL,17920,170000,1955,Pave
RL,6897,127000,1962,Pave
RL,10970,147000,1978,Pave
RL,8125,174000,1994,Pave
RL,10400,152000,1976,Pave
RL,11029,250000,1968,Pave
RL,7642,189950,1918,Pave
RL,11625,131500,1965,Pave
RL,9672,152000,1984,Pave
RL,7931,132500,1959,Pave
FV,8640,250580,2007,Pave
RL,8750,148500,1970,Pave
RL,10656,248900,2006,Pave
RL,6970,129000,1961,Pave
RL,14762,169000,1948,Pave
RL,9938,236000,1993,Pave
RL,6600,109500,1962,Pave
